0000	Ausgabe Ende
409B	Bank2-Sonde1,Heizstromkreis elektr.Fehler
409C	Bank2-Sonde2 elektr.Fehler im Stromkreis
409D	Bank2-Sonde2 Spannung zu klein
409E	Bank2-Sonde2 Spannung zu gross
409F	Bank2-Sonde2 Signal zu langsam
40A0	Bank2-Sonde2 keine Aktivitaet
40A1	Bank2-Sonde2,Heizstromkreis elektr.Fehler
40A2	
40A3	
40A4	
40A5	
40A6	
40A7	
40A8	
40A9	
40AA	Bank1,Kraftstoffbemessungssystem Fehlfunktion
40AB	Bank1,Kraftstoffbemessungssystem System zu mager
40AC	Bank1,Kraftstoffbemessungssystem System zu fett
40AD	Bank2,Kraftstoffbemessungssystem Fehlfunktion
40AE	Bank2,Kraftstoffbemessungssystem System zu mager
40AF	Bank2,Kraftstoffbemessungssystem System zu fett
40B0	
40B1	
40B2	
40B3	
40B4	
40B5	
40B6	Geber fuer Kraftstofftemp.-G81 Kurzschluss nach Masse
40B7	Geber fuer Kraftstofftemp.-G81 Unterbrechung/Kurzschluss nach Plus
40B8	
40B9	
40BA	
40BB	
40BC	
40BD	
40BE	
40BF	Geber fuer Kraftstoffdruck-G247 unplausibles Signal
40C0	Geber fuer Kraftstoffdruck-G247 Kurzschluss nach Masse
40C1	Geber fuer Kraftstoffdruck-G247 Kurzschluss nach Plus
40C2	Geber fuer Kraftstoffdruck-G247 Unterbrechung
40C3	
40C4	Geber fuer oeltemperatur -G8 unplausibles Signal
40C5	Geber fuer oeltemperatur -G8 Signal zu klein
40C6	Geber fuer oeltemperatur -G8 Signal zu gross
40C7	
40C8	
40C9	Einspritzventil Zyl.1-N30 elektr.Fehler im Stromkreis
40CA	Einspritzventil Zyl.2-N31 elektr.Fehler im Stromkreis
40CB	Einspritzventil Zyl.3-N32 elektr.Fehler im Stromkreis
40CC	Einspritzventil Zyl.4-N33 elektr.Fehler im Stromkreis
40CD	Einspritzventil Zyl.5-N83 elektr.Fehler im Stromkreis
40CE	Einspritzventil Zyl.6-N84 elektr.Fehler im Stromkreis
40CF	Einspritzventil Zyl.7-N85 elektr.Fehler im Stromkreis
40D0	Einspritzventil Zyl.8-N86 elektr.Fehler im Stromkreis
40D1	Einspritzventil Zyl.9-N299 elektr.Fehler im Stromkreis
40D2	Einspritzventil Zyl.10-N300 elektr.Fehler im Stromkreis
40D3	Einspritzventil Zyl.11-N301 elektr.Fehler im Stromkreis
40D4	Einspritzventil Zyl.12-N302 elektr.Fehler im Stromkreis
40D5	
40D6	
40D7	Kraftstoffabschaltventil-N109 Fehlfunktion
40D8	Ventil fuer Einspritzbeginn-N108 Fehlfunktion
40D9	
40DA	
40DB	maximale Motordrehzahl ueberschritten
40DC	
40DD	Winkelgeber 2 fuer DK-Antrieb-G188 unplausibles Signal
40DE	Winkelgeber 2 fuer DK-Antrieb-G188 Signal zu klein
40DF	Winkelgeber 2 fuer DK-Antrieb-G188 Signal zu gross
40E0	
40E1	Geber fuer Gaspedalstellung-G79 Versorgungsspannung
40E2	Geber 1/2 f. Gaspedalstellung-G79+G185 unplausibles Signal
40E3	Geber fuer Gaspedalstellung-G79 Signal zu klein
40E4	Geber fuer Gaspedalstellung-G79 Signal zu gross
40E5	
40E6	Kraftstoffpumpenrelais-J17 elektr.Fehler im Stromkreis
40E7	
40E8	
40E9	
40EA	Ladedruckregelung Regelgrenze ueberschritten
40EB	Ladedruckregelung Regelgrenze unterschritten
40EC	Geber fuer Ladedruck-G31 unplausibles Signal
40ED	Geber fuer Ladedruck-G31 Signal zu klein
40EE	Geber fuer Ladedruck-G31 Signal zu gross
40EF	
40F0	
40F1	
40F2	
40F3	Magnetventil fuer Ladedruckbegrenzung-N75  Unterbrechung/Kurzschluss nach Masse
40F4	
40F5	Magnetventil fuer Ladedruckbegrenzung-N75 Kurzschluss nach Masse
40F6	Magnetventil fuer Ladedruckbegrenzung-N75 Kurzschluss nach Plus
40F7	
40F8	
40F9	
40FA	
40FB	
40FC	Spritzbeginnregelung Regeldifferenz
40FD	
40FE	
40FF	
4100	
4101	
4102	
4103	
4104	
4105	Einspritzventil Zyl.1-N30 Kurzschluss nach Masse
4106	Einspritzventil Zyl.1-N30 Kurzschluss nach Plus
4107	
4108	Einspritzventil Zyl.2-N31 Kurzschluss nach Masse
4109	Einspritzventil Zyl.2-N31 Kurzschluss nach Plus
410A	
410B	Einspritzventil Zyl.3-N32 Kurzschluss nach Masse
410C	Einspritzventil Zyl.3-N32 Kurzschluss nach Plus
410D	
410E	Einspritzventil Zyl.4-N33 Kurzschluss nach Masse
410F	Einspritzventil Zyl.4-N33 Kurzschluss nach Plus
4110	
4111	Einspritzventil Zyl.5-N83 Kurzschluss nach Masse
4112	Einspritzventil Zyl.5-N83 Kurzschluss nach Plus
4113	
4114	Einspritzventil Zyl.6-N84 Kurzschluss nach Masse
4115	Einspritzventil Zyl.6-N84 Kurzschluss nach Plus
4116	
4117	Einspritzventil Zyl.7-N85 Kurzschluss nach Masse
4118	Einspritzventil Zyl.7-N85 Kurzschluss nach Plus
4119	
411A	Einspritzventil Zyl.8-N86 Kurzschluss nach Masse
411B	Einspritzventil Zyl.8-N86 Kurzschluss nach Plus
411C	
411D	Einspritzventil Zyl.9-N299 Kurzschluss nach Masse
411E	Einspritzventil Zyl.9-N299 Kurzschluss nach Plus
411F	
4120	Einspritzventil Zyl.10-N300 Kurzschluss nach Masse
4121	Einspritzventil Zyl.10-N300 Kurzschluss nach Plus
4122	
4123	Einspritzventil Zyl.11-N301 Kurzschluss nach Masse
4124	Einspritzventil Zyl.11-N301 Kurzschluss nach Plus
4125	
4126	Einspritzventil Zyl.12-N302 Kurzschluss nach Masse
4127	Einspritzventil Zyl.12-N302 Kurzschluss nach Plus
4128	
4129	
412A	
412B	
412C	Verbrennungsaussetzer erkannt
412D	Zyl.1 Verbrennungsaussetzer erkannt
412E	Zyl.2 Verbrennungsaussetzer erkannt
412F	Zyl.3 Verbrennungsaussetzer erkannt
4130	Zyl.4 Verbrennungsaussetzer erkannt
4131	Zyl.5 Verbrennungsaussetzer erkannt
4132	Zyl.6 Verbrennungsaussetzer erkannt
4133	Zyl.7 Verbrennungsaussetzer erkannt
4134	Zyl.8 Verbrennungsaussetzer erkannt
4135	Zyl.9 Verbrennungsaussetzer erkannt
4136	Zyl.10 Verbrennungsaussetzer erkannt
4137	Zyl.11 Verbrennungsaussetzer erkannt
4138	Zyl.12 Verbrennungsaussetzer erkannt
4139	Verbrennungsaussetzer erkannt Grund: Kraftstoffmangel
413A	Verbrennungsaussetzer Einzelzylinder
413B	
413C	
413D	
413E	Schlechtwegeinfo/Motorsollmom.vom ABS-SG elektr.Fehler im Stromkreis
413F	
4140	
4141	Geber fuer Motordrehzahl-G28 unplausibles Signal
4142	Geber fuer Motordrehzahl-G28 kein Signal
4143	
4144	Klopfregelung Fehlfunktion
4145	Klopfsensor 1-G61 elektr. Fehler im Stromkreis
4146	Klopfsensor 1-G61 unplausibles Signal
4147	Klopfsensor 1-G61 Signal zu klein
4148	Klopfsensor 1-G61 Signal zu gross
4149	
414A	
414B	
414C	Klopfsensor 2-G66 Signal zu klein
414D	Klopfsensor 2-G66 Signal zu gross
414E	
414F	Geber fuer Motordrehzahl-G28 Fehlfunktion
4150	Geber fuer Motordrehzahl-G28 fehlender Zahn
4151	Kurbelwellenpos.-sensor=>Geber-G4 Signal zu klein
4152	
4153	
4154	Nockenwellenpositionssensor Fehlfunktion
4155	Nockenwellenpos.-sensor=>Geber-G40 unplausibles Signal
4156	Nockenwellenpos.-sensor=>Geber-G40 Signal zu klein
4157	Nockenwellenpos.-sensor=>Geber-G40 Signal zu gross
4158	
4159	Nockenwellenpos.-sensor=>Geber-G163 elektrischer Fehler
415A	Nockenwellenpos.-sensor=>Geber-G163 unplausibles Signal
415B	Nockenwellenpos.-sensor=>Geber-G163 Kurzschluss nach Masse
415C	Nockenwellenpos.-sensor=>Geber-G163 Kurzschluss nach Plus
415D	
415E	
415F	Zuendansteuerung Zyl. 1 Fehlfunktion
4160	Zuendansteuerung Zyl. 2 Fehlfunktion
4161	Zuendansteuerung Zyl. 3 Fehlfunktion
4162	Zuendansteuerung Zyl. 4 Fehlfunktion
4163	Zuendansteuerung Zyl. 5 Fehlfunktion
4164	Zuendansteuerung Zyl. 6 Fehlfunktion
4165	Zuendansteuerung Zyl. 7 Fehlfunktion
4166	Zuendansteuerung Zyl. 8 Fehlfunktion
4167	Zuendansteuerung Zyl. 9 Fehlfunktion
4168	Zuendansteuerung Zyl. 10 Fehlfunktion
4169	Zuendansteuerung Zyl. 11 Fehlfunktion
416A	Zuendansteuerung Zyl. 12 Fehlfunktion
416B	
416C	
416D	Nockenwellenpos.-sensor=>Geber-G300 Fehlfunktion
416E	
416F	Nockenwellenpos.-sensor=>Geber-G300 Signal zu klein
4170	Nockenwellenpos.-sensor=>Geber-G300 Signal zu gross
4171	
4172	
4173	
4174	
4175	
4176	
4177	
4178	
4179	
417A	
417B	
417C	Gluehkerze -Q6 elektr. Fehler im Stromkreis
417D	
417E	
417F	
4180	
4181	
4182	
4183	
4184	
4185	
4186	Nockenwellenpos.-sensor=>Geber-G301 Fehlfunktion
4187	
4188	Nockenwellenpos.-sensor=>Geber-G301 Signal zu klein
4189	Nockenwellenpos.-sensor=>Geber-G301 Signal zu gross
418A	
418B	
418C	
418D	
418E	
418F	
4190	Abgasrueckfuehrungssystem Fehlfunktion
4191	Abgasrueckfuehrungssystem Durchsatz zu klein
4192	Abgasrueckfuehrungssystem Durchsatz zu gross
4193	Ventil fuer Abgasrueckfuehrung -N18 Fehlfunktion
4194	Abgasrueckfuehrungssystem Regeldifferenz
4195	Temp.-Fuehler fuer Abgasrueckfuehrung-G98 Signal zu klein
4196	Temp.-Fuehler fuer Abgasrueckfuehrung-G98 Signal zu gross
4197	Potentiometer f. Abgasrueckfuehrung-G212 Signal zu klein
4198	Potentiometer f. Abgasrueckfuehrung-G212 Signal zu gross
4199	
419A	Sekundaerluftsystem Fehlfunktion
419B	Sekundaerluftsystem Durchfluss fehlerhaft
419C	Sekundaerlufteinblasventil-N112 elektr.Fehler im Stromkreis
419D	Sekundaerlufteinblasventil-N112 Unterbrechung
419E	Sekundaerlufteinblasventil-N112 Kurzschluss
419F	Sekundaerlufteinblasventil 2 -N320 elektr.Fehler im Stromkreis
41A0	
41A1	
41A2	Relais fuer Sekundaerluftpumpe-J299 Fehlfunktion
41A3	Relais fuer Sekundaerluftpumpe 2 -J545 Fehlfunktion
41A4	Bank1,Katalysatorsystem Wirkung zu gering
41A5	Vorkatalysator, Bank1 Wirkung zu gering
41A6	Bank1,Hauptkatalysator Wirkung zu gering
41A7	
41A8	
41A9	
41AA	
41AB	Temp.-Fuehler 1 fuer Kat-G20 Kurzschluss nach Masse
41AC	Temp.-Fuehler 1 fuer Kat-G20 Unterbrechung/Kurzschluss nach Plus
41AD	
41AE	Katalysatorsystem, Bank2 Wirkung zu gering
41AF	Vorkatalysator, Bank2 Wirkung zu gering
41B0	Bank2,Hauptkatalysator Wirkung zu gering
41B1	
41B2	
41B3	
41B4	Temp.-Fuehler 2 fuer Kat-G132 unplausibles Signal
41B5	Temp.-Fuehler 2 fuer Kat-G132 Kurzschluss nach Masse
41B6	Temp.-Fuehler 2 fuer Kat-G132 Unterbrechung/Kurzschluss nach Plus
41B7	
41B8	Tankentlueftungssystem Fehlfunktion
41B9	Tankentlueftungssystem Durchsatz fehlerhaft
41BA	Tankentlueftungssystem Feinleck erkannt
41BB	Tankentlueftungsventil-N80 elektr.Fehler im Stromkreis
41BC	Tankentlueftungsventil-N80 Unterbrechung
41BD	Tankentlueftungsventil-N80 Kurzschluss
41BE	
41BF	
41C0	
41C1	
41C2	
41C3	
41C4	Drucksens. fuer Tankentlueftungssystem Signal zu klein
41C5	Drucksens. fuer Tankentlueftungssystem Signal zu gross
41C6	
41C7	Tankentlueftungssystem Grobleck erkannt
41C8	Tankentlueftungssystem Feinstleck erkannt
41C9	
41CA	
41CB	
41CC	
41CD	Kraftstoffuellstandssignal unplausibles Signal
41CE	Geber fuer Kraftstoffvorrat-G Signal zu klein
41CF	Geber fuer Kraftstoffvorrat-G Signal zu gross
41D0	
41D1	
41D2	
41D3	
41D4	
41D5	
41D6	
41D7	
41D8	
41D9	
41DA	
41DB	
41DC	
41DD	
41DE	
41DF	
41E0	Kuehlerluefteransteuerung 1 Elektrischer Fehler
41E1	Kuehlerluefteransteuerung 2 Elektrischer Fehler
41E2	
41E3	
41E4	
41E5	
41E6	
41E7	
41E8	
41E9	
41EA	
41EB	
41EC	Bank2,Sekundaerluftsystem Fehlfunktion
41ED	
41EE	
41EF	
41F0	
41F1	
41F2	
41F3	
41F4	
41F5	Fahrzeug-Geschwindigkeitssignal unplausibles Signal
41F6	
41F7	Fahrzeug-Geschwindigkeitssignal Signal zu gross
41F8	
41F9	Leerlaufregelung Fehlfunktion
41FA	Leerlaufregelung Drehzahl unter Sollwert
41FB	Leerlaufregelung Drehzahl ueber Sollwert
41FC	 
41FD	 
41FE	Leerlaufschalter-F60 Fehlfunktion
41FF	
4200	
4201	Falscher Wegfahrsperrencode
4202	
4203	
4204	
4205	
4206	
4207	
4208	
4209	
420A	
420B	
420C	
420D	
420E	
420F	
4210	
4211	
4212	
4213	Lastsignal vom Klimakompressor unplausibles Signal
4214	Drucksensor fuer Klimaanlage-G65 Signal zu klein
4215	Drucksensor fuer Klimaanlage-G65 Signal zu gross
4216	
4217	
4218	
4219	
421A	
421B	
421C	
421D	
421E	
421F	
4220	Geber 1 fuer Abgastemperatur -G235 Elektrischer Fehler
4221	Geber 1 fuer Abgastemperatur -G235 Kurzschluss nach Masse
4222	Geber 1 fuer Abgastemperatur -G235 Kurzschluss nach Plus
4223	Geber 2 fuer Abgastemperatur -G236 Elektrischer Fehler
4224	Geber 2 fuer Abgastemperatur -G236 Kurzschluss nach Masse
4225	Geber 2 fuer Abgastemperatur -G236 Kurzschluss nach Plus
4226	Servolenkung Druckregelung elektrischer Fehler
4227	Druckschalter/Servolenkung -F88 unplausibles Signal
4228	
4229	
422A	
422B	
422C	
422D	
422E	
422F	
4230	Spannungsversorgung unplausibles Signal
4231	
4232	Spannungsversorgung Spannung zu klein
4233	Spannungsversorgung Spannung zu gross
4234	
4235	
4236	
4237	
4238	Schalter fuer GRA-E45 unplausibles Signal
4239	
423A	
423B	Bremslichtschalter-F unplausibles Signal
423C	
423D	
423E	
423F	
4240	
4241	
4242	
4243	
4244	
4245	
4246	
4247	
4248	
4249	
424A	
424B	
424C	
424D	
424E	
424F	
4250	
4251	
4252	
4253	
4254	
4255	
4256	
4257	
4258	Datenbus Antrieb fehlende Botschaft 
4259	Steuergeraet defekt
425A	Steuergeraete-Programmierung Fehlfunktion
425B	Steuergeraet defekt 
425C	Steuergeraet defekt 
425D	Steuergeraet defekt 
425E	Steuergeraet defekt 
425F	
4260	
4261	
4262	
4263	
4264	
4265	
4266	
4267	
4268	
4269	
426A	
426B	
426C	
426D	
426E	
426F	
4270	
4271	
4272	
4273	
4274	
4275	
4276	
4277	
4278	
4279	
427A	
427B	
427C	
427D	
427E	Drosselklappensteuereinheit-J338 unplausibles Signal
427F	Drosselklappensteuereinheit 2-J544 unplausibles Signal
4280	
4281	
4282	Klopfregelung                    Steuergeraet defekt
4283	
4284	
4285	Klimaanlage Eingang/Ausgang
4286	
4287	
4288	
4289	
428A	Fehlerlampe fuer Eigendiagnose-K83 elektr.Fehler im Stromkreis
428B	
428C	
428D	
428E	Ausgangssignal fuer Motordrehzahl elektr. Fehler im Stromkreis
428F	
4290	Kraftstoffverbrauchssignal elektr. Fehler im Stromkreis
4291	
4292	
4293	
4294	Registersaugrohrumschaltung Elektrischer Fehler
4295	Registersaugrohrumschaltung Kurzschluss nach Masse
4296	Registersaugrohrumschaltung Kurzschluss nach Plus
4297	
4298	
4299	
429A	
429B	
429C	
429D	
429E	
429F	
42A0	
42A1	
42A2	
42A3	
42A4	
42A5	
42A6	
42A7	
42A8	
42A9	
42AA	
42AB	
42AC	
42AD	Hauptrelais=>-J271 Unterbrechung
42AE	Hauptrelais=>-J271 Kurzschluss nach Masse
42AF	Hauptrelais=>-J271 Kurzschluss nach Plus
42B0	Hauptrelais, Lastkreis=>-J271 Unterbrechung
42B1	
42B2	
42B3	Kuehlerluefteransteuerung 1 Kurzschluss nach Masse
42B4	Kuehlerluefteransteuerung 1 Kurzschluss nach Plus
42B5	Kuehlerluefteransteuerung 2 Kurzschluss nach Masse
42B6	Kuehlerluefteransteuerung 2 Kurzschluss nach Plus
42B7	
42B8	
42B9	
42BA	
42BB	
42BC	Steuergeraet defekt 
42BD	
42BE	Steuergeraet defekt
42BF	Bremslichtschalter-F elektr.Fehler im Stromkreis
42C0	
42C1	Fahrstufensensor=>-F125 elektr.Fehler im Stromkreis
42C2	Fahrstufensensor=>-F125 unplausibles Signal
42C3	Fahrstufensensor=>-F125 Signal zu klein
42C4	Fahrstufensensor=>-F125 Signal zu gross
42C5	
42C6	Geber fuer Getriebeoeltemp.-G93 elektr.Fehler im Stromkreis
42C7	Geber fuer Getriebeoeltemp.-G93 unplausibles Signal
42C8	Geber fuer Getriebeoeltemp.-G93 Signal zu klein
42C9	Geber fuer Getriebeoeltemp.-G93 Signal zu gross
42CA	
42CB	Geber fuer Getriebeeingangsdrehzahl-G182 elektr.Fehler im Stromkreis
42CC	Geber fuer Getriebeeingangsdrehzahl-G182 unplausibles Signal
42CD	Geber fuer Getriebeeingangsdrehzahl-G182 kein Signal
42CE	
42CF	
42D0	
42D1	Geber fuer Getriebeausgangsdrehzahl-G195 unplausibles Signal
42D2	Geber fuer Getriebeausgangsdrehzahl-G195 kein Signal
42D3	
42D4	
42D5	Drehzahlsignal vom Motorsteuergeraet elektr.Fehler im Stromkreis
42D6	Drehzahlsignal vom Motorsteuergeraet unplausibles Signal
42D7	Drehzahlsignal vom Motorsteuergeraet kein Signal
42D8	
42D9	
42DA	Gang-/Uebersetzungsueberwachung falsches Uebersetzungsverhaeltnis
42DB	1. Gang falsches Uebersetzungsverhaeltnis
42DC	2. Gang falsches Uebersetzungsverhaeltnis
42DD	3. Gang falsches Uebersetzungsverhaeltnis
42DE	4. Gang falsches Uebersetzungsverhaeltnis
42DF	5. Gang falsches Uebersetzungsverhaeltnis
42E0	
42E1	
42E2	
42E3	
42E4	Kupplung fuer Wandlerueberbrueckung mech.Fehler
42E5	Kupplung fuer Wandlerueberbrueckung keine Kraftuebertragung
42E6	
42E7	
42E8	
42E9	
42EA	
42EB	
42EC	Druckregelventil 1 elektr.Fehler im Stromkreis
42ED	
42EE	Schaltventil 1=>Magnetventil 1-N88 Funktionsstoerung
42EF	Schaltventil 1=>Magnetventil 1-N88 Unterbrechung/Kurzschluss nach Masse
42F0	Schaltventil 1=>Magnetventil 1-N88 Kurzschluss nach Plus
42F1	Schaltventil 1=>Magnetventil 1-N88 elektr.Fehler im Stromkreis
42F2	
42F3	
42F4	Schaltventil 2=>Magnetventil 2-N89 Unterbrechung/Kurzschluss nach Masse
42F5	Schaltventil 2=>Magnetventil 2-N89 Kurzschluss nach Plus
42F6	Schaltventil 2=>Magnetventil 2-N89 elektr.Fehler im Stromkreis
42F7	
42F8	
42F9	Schaltventil 3=>Magnetventil 3-N90 Unterbrechung/Kurzschluss nach Masse
42FA	Schaltventil 3=>Magnetventil 3-N90 Kurzschluss nach Plus
42FB	Schaltventil 3=>Magnetventil 3-N90 elektr.Fehler im Stromkreis
42FC	
42FD	
42FE	
42FF	
4300	Schaltventil 4=>Magnetventil 4-N91 elektr.Fehler im Stromkreis
4301	
4302	
4303	
4304	
4305	Schaltventil 5=>Magnetventil 5-N92 elektr.Fehler im Stromkreis
4306	
4307	
4308	
4309	
430A	Druckregelventil 2 elektr.Fehler im Stromkreis
430B	
430C	
430D	
430E	
430F	
4310	
4311	
4312	
4313	
4314	
4315	
4316	Programmschalter-E122 elektr.Fehler im Stromkreis
4317	
4318	
4319	
431A	
431B	
431C	
431D	
431E	Druckregelventil 3 elektr.Fehler im Stromkreis
431F	
4320	
4321	
4322	
4323	
4324	
4325	
4326	
4327	
4328	
4329	
432A	
432B	starker Kupplungsschlupf
432C	
432D	
432E	
432F	Schalter fuer Tiptronik, hoch-F189 elektr.Fehler im Stromkreis
4330	Schalter fuer Tiptronik, zurueck-F189 elektr.Fehler im Stromkreis
4331	
4332	
4333	
4334	
4335	
4336	
4337	
4338	
4339	
433A	
433B	
433C	
433D	
433E	
433F	
4340	
4341	
4342	
4343	
4344	
4345	
4346	
4347	
4348	
4349	Geber 1 fuer Hydraulikdruck Getriebe unplausibles Signal
434A	
434B	
434C	
434D	
434E	Geber 2 fuer Hydraulikdruck Getriebe unplausibles Signal
434F	
4350	
4351	
4352	
4353	
4354	
4355
4356
4357
4358
4359
435A
435B
435C
435D
435E
435F
4360
4361
4362
4363
4364
4365	
4366	 
4367	
4368	
4369	
436A	
436B	
436C	
436D	
436E	
436F	
4370	
4371	
4372	
4373	
4374	
4375	
4376	
4377	
4378	
4379	
437A	
437B	
437C	
437D	
437E	
437F	
4380	
4381	
4382	
4383	
4384
4385
4386
4387
4388
4389
438A
438B
438C
438D
438E
438F
4390
4391
4392
4393
4394
4395
4396
4397
4398
4399
439A
439B
439C
439D
439E
439F
43A0
43A1
43A2
43A3
43A4
43A5
43A6
43A7
43A8
43A9
43AA
43AB
43AC
43AD
43AE
43AF
43B0
43B1
43B2
43B3
43B4
43B5
43B6
43B7
43B8
43B9
43BA
43BB
43BC
43BD
43BE
43BF
43C0
43C1
43C2
43C3
43C4
43C5
43C6
43C7
43C8
43C9
43CA
43CB
43CC
43CD
43CE
43CF
43D0
43D1
43D2
43D3
43D4
43D5
43D6
43D7
43D8
43D9
43DA
43DB
43DC
43DD
43DE
43DF
43E0
43E1
43E2
43E3
43E4
43E5
43E6
43E7
4400	Einspritzventil Zyl.9-N299 elektr.Fehler im Stromkreis
4401	Einspritzventil Zyl.10-N300 elektr.Fehler im Stromkreis
4402	Einspritzventil Zyl.11-N301 elektr.Fehler im Stromkreis
4403	Einspritzventil Zyl.12-N302 elektr.Fehler im Stromkreis
4404	Momentendifferenz Zyl.1                            Grenzwert ueberschritten
4405	Momentendifferenz Zyl.2                            Grenzwert ueberschritten
4406	Momentendifferenz Zyl.3                           Grenzwert ueberschritten
4407	Momentendifferenz Zyl.4                            Grenzwert ueberschritten
4408	
4409	
440A	Einspritzventil Zyl.9-N299 Unterbrechung
440B	Einspritzventil Zyl.10-N300 Unterbrechung
440C	Einspritzventil Zyl.11-N301 Unterbrechung
440D	Einspritzventil Zyl.12-N302 Unterbrechung
440E	Ventil fuer Bypassklappe Luftfilter-N275 Kurzschluss nach Plus
440F	Ventil fuer Bypassklappe Luftfilter-N275 Kurzschluss nach Masse
4410	Ventil fuer Bypassklappe Luftfilter-N275 Unterbrechung
4411	
4412	
4413	Geber fuer NOx-G295 Signal zu langsam
4414	Kraftstoffdruckregelung Regelgrenze ueberschritten
4415	Bank1,Nockenwellenspaetverstellung Soll nicht erreicht
4416	Bank1,Nockenwellenfruehverstellung Soll nicht erreicht
4417	Regelventil fuer Kraftstoffdruck-N276 Kurzschluss nach Masse
4418	Regelventil fuer Kraftstoffdruck-N276 Unterbrechung
4419	Regelventil fuer Kraftstoffdruck-N276 mechanischer Fehler
441A	Ansteuerung Saugrohrklappe fuer Luftstromsteuerung Kurzschluss nach Plus
441B	Ansteuerung Saugrohrklappe fuer Luftstromsteuerung Kurzschluss nach Masse
441C	Ansteuerung Saugrohrklappe fuer Luftstromsteuerung Unterbrechung
441D	Ventil fuer Saugrohrklappe, Luftstromsteuerung-N316 oberer Anschlag nicht erreicht
441E	Ventil fuer Saugrohrklappe, Luftstromsteuerung-N316 unterer Anschlag nicht erreicht
441F	Ventil fuer Saugrohrklappe, Luftstromsteuerung-N316 Sollwert nicht erreicht
4420	Geber fuer NOx-G295 Signal zu gross
4421	Geber fuer NOx-G295 Signal zu klein
4422	Geber fuer NOx-G295 Signal ausserhalb Toleranz
4423	Geber fuer NOx-G295 unplausibles Signal
4424	Ansteuerung Heizung Geber fuer NOx Kurzschluss nach Plus
4425	Ansteuerung Heizung Geber fuer NOx Kurzschluss nach Masse
4426	Ansteuerung Heizung Geber fuer NOx Unterbrechung
4427	Versorgung Einspritzventil(e) A Kurzschluss
4428	Versorgung Einspritzventil(e) A elektr.Fehler im Stromkreis
4429	Versorgung Einspritzventil(e) B Kurzschluss
442A	Versorgung Einspritzventil(e) B elektr.Fehler im Stromkreis
442B	reserviert fuer C & D (s.o.)
442C	reserviert fuer C & D (s.o.)
442D	reserviert fuer C & D (s.o.)
442E	reserviert fuer C & D (s.o.)
442F	Bank1,Ventil fuer Nockenwellenverstellung, Auslass-N318 elektr.Fehler im Stromkreis
4430	Bank1,Ventil fuer Nockenwellenverstellung, Auslass-N318 Kurzschluss nach Plus
4431	Bank1,Ventil fuer Nockenwellenverstellung, Auslass-N318 Kurzschluss nach Masse
4432	Bank1,Ventil fuer Nockenwellenverstellung, Auslass-N318 Unterbrechung
4433	Bank2,Ventil fuer Nockenwellenverstellung, Auslass-N319 elektr.Fehler im Stromkreis
4434	Bank2,Ventil fuer Nockenwellenverstellung, Auslass-N319 Kurzschluss nach Plus
4435	Bank2,Ventil fuer Nockenwellenverstellung, Auslass-N319 Kurzschluss nach Masse
4436	Bank2,Ventil fuer Nockenwellenverstellung, Auslass-N319 Unterbrechung
4437	Bank1,Nockenwellenverstellung, Auslass Kurzschluss nach Plus
4438	Bank1,Nockenwellenverstellung, Auslass Kurzschluss nach Masse
4439	Bank1,Nockenwellenverstellung, Auslass Unterbrechung
443A	Bank2,Nockenwellenverstellung, Auslass Kurzschluss nach Plus
443B	Bank2,Nockenwellenverstellung, Auslass Kurzschluss nach Masse
443C	Bank2,Nockenwellenverstellung, Auslass Unterbrechung
443D	Bank2,Nockenwellenspaetverstellung Soll nicht erreicht
443E	Bank2,Nockenwellenfruehverstellung Soll nicht erreicht
443F	Kraftstoffdruckregelung Regelgrenze unterschritten
4440	Kraftstoffdrucksystem mechanischer Fehler
4441	Kraftstoffdruckregelung Regeldifferenz
4442	Ventil fuer Ansaugluftumschaltung-N335 Kurzschluss nach Plus
4443	Ventil fuer Ansaugluftumschaltung-N335 Kurzschluss nach Masse
4444	Ventil fuer Ansaugluftumschaltung-N335 Unterbrechung
4445	Geber fuer NOx-G295, Heizungskontrollsignal Kurzschluss nach Masse
4446	Geber fuer NOx-G295, Heizungskontrollsignal Kurzschluss nach Plus
4447	Geber fuer NOx-G295, Heizungskontrollsignal unplausibles Signal
4448	Geber fuer NOx-G295, Heizungskontrollsignal elektr. Fehler im Stromkreis
4449	Luftmassenmesser 2-G246 Signal zu klein
444A	Luftmassenmesser 2-G246 Signal zu gross
444B	Lambda-Regelung Abgas-Bank 3 System zu mager
444C	Lambda-Regelung Abgas-Bank 3 System zu fett
444D	Lambda-Regelung Abgas-Bank 4 System zu mager
444E	Lambda-Regelung Abgas-Bank 4 System zu fett
444F	Lambda-Regelung Abgas-Bank 3 unplausibler Regelwert
4450	Lambda-Regelung Abgas-Bank 4 unplausibler Regelwert
4451	Abgas-Bank3, Gemischadaption Bereich 1 Magergrenze unterschritten
4452	Abgas-Bank3, Gemischadaption Bereich 2 Magergrenze unterschritten
4453	Abgas-Bank3, Gemischadaption Bereich 1 Fettgrenze ueberschritten
4454	Abgas-Bank3, Gemischadaption Bereich 2 Fettgrenze ueberschritten
4455	Abgas-Bank4, Gemischadaption Bereich 1 Magergrenze unterschritten
4456	Abgas-Bank4, Gemischadaption Bereich 2 Magergrenze unterschritten
4457	Abgas-Bank4, Gemischadaption Bereich 1 Fettgrenze ueberschritten
